StellarType,MassMstar/Msun,LuminosityLstar/Lsun,RadiusRstar/Rsun,TempK,Color IndexB-V,Abs MagMv,Bolo CorrBC(Temp),Bolo MagMbol,Star ColorRGB 0-255
F0Ia,10.8,228000.0,258.0,7967.0,0.18,-8.5,-0.15,-8.65,202 215 255
F0Ib,8.9,9960.0,54.0,7967.0,0.18,-5.1,-0.15,-5.25,202 215 255
F0II,7.1,870.0,18.5,7400.0,0.3,-2.5,-0.1,-2.6,203 217 255
F0III,5.3,21.9,2.93,7400.0,0.3,1.5,-0.1,1.4,213 222 255
F0IV,3.4,11.5,2.12,7400.0,0.3,2.2,-0.1,2.1,218 224 255
F0V,1.6,7.94,1.77,7400.0,0.3,2.6,-0.1,2.5,224 229 255
F0VI,1.4,2.4,0.971,7400.0,0.3,3.9,-0.1,3.8,224 229 255
F1Ia0,12.1,296000.0,309.0,7773.0,0.22,-8.8,-0.13,-8.93,223 229 255
F1Ia,10.3,224000.0,269.0,7773.0,0.22,-8.5,-0.13,-8.63,223 229 255
F1Ib,8.6,9790.0,56.2,7773.0,0.22,-5.1,-0.13,-5.23,223 229 255
F1II,6.8,865.0,19.2,7260.0,0.33,-2.5,-0.09,-2.59,216 225 255
F1III,5.1,21.7,3.04,7260.0,0.33,1.5,-0.09,1.41,227 232 255
F1IV,3.3,12.5,2.3,7260.0,0.33,2.1,-0.09,2.01,223 227 255
F1V,1.6,6.56,1.67,7260.0,0.33,2.8,-0.09,2.71,230 234 255
F1VI,1.3,1.98,0.917,7260.0,0.33,4.1,-0.09,4.01,230 234 255
F2Ia0,11.6,291000.0,323.0,7580.0,0.26,-8.8,-0.11,-8.91,244 243 255
F2Ia,9.9,202000.0,268.0,7580.0,0.26,-8.4,-0.11,-8.51,244 243 255
F2Ib,8.2,8800.0,56.1,7580.0,0.26,-5.0,-0.11,-5.11,244 243 255
F2II,6.5,860.0,19.9,7120.0,0.36,-2.5,-0.09,-2.59,229 233 255
F2III,4.9,19.7,3.01,7120.0,0.36,1.6,-0.09,1.51,241 241 255
F2IV,3.2,14.9,2.62,7120.0,0.36,1.9,-0.09,1.81,227 230 255
F2V,1.5,5.95,1.65,7120.0,0.36,2.9,-0.09,2.81,236 239 255
F2VI,1.3,1.64,0.867,7120.0,0.36,4.3,-0.09,4.21,236 239 255
F3Ia0,11.0,316000.0,354.0,7387.0,0.3,-8.9,-0.1,-9.0,236 237 255
F3Ia,9.4,199000.0,281.0,7387.0,0.3,-8.4,-0.1,-8.5,236 237 255
F3Ib,7.9,8700.0,58.7,7387.0,0.3,-5.0,-0.1,-5.1,236 237 255
F3II,6.3,782.0,19.7,6980.0,0.39,-2.4,-0.08,-2.48,235 237 255
F3III,4.7,19.6,3.12,6980.0,0.39,1.6,-0.08,1.52,241 241 255
F3IV,3.1,16.3,2.85,6980.0,0.39,1.8,-0.08,1.72,227 230 255
F3V,1.5,4.94,1.57,6980.0,0.39,3.1,-0.08,3.02,230 233 255
F3VI,1.2,1.49,0.86,6980.0,0.39,4.4,-0.08,4.32,230 233 255
F4Ia0,10.5,343000.0,389.0,7193.0,0.34,-9.0,-0.09,-9.09,227 231 255
F4Ia,9.0,180000.0,282.0,7193.0,0.34,-8.3,-0.09,-8.39,227 231 255
F4Ib,7.5,7860.0,58.9,7193.0,0.34,-4.9,-0.09,-4.99,227 231 255
F4II,6.0,781.0,20.5,6840.0,0.42,-2.4,-0.08,-2.48,241 241 255
F4III,4.5,19.6,3.25,6840.0,0.42,1.6,-0.08,1.52,241 240 255
F4IV,3.0,19.6,3.25,6840.0,0.42,1.6,-0.08,1.52,234 235 255
F4V,1.4,4.5,1.56,6840.0,0.42,3.2,-0.08,3.12,224 226 255
F4VI,1.1,1.24,0.817,6840.0,0.42,4.6,-0.08,4.52,224 226 255
F5Ia0,10.0,374000.0,429.0,7000.0,0.39,-9.1,-0.08,-9.18,219 225 255
F5Ia,8.6,163000.0,283.0,7000.0,0.39,-8.2,-0.08,-8.28,219 225 255
F5Ib,7.1,7820.0,62.0,7000.0,0.39,-4.9,-0.08,-4.98,219 225 255
F5II,5.7,783.0,21.4,6700.0,0.46,-2.4,-0.08,-2.48,247 242 255
F5III,4.3,21.6,3.55,6700.0,0.46,1.5,-0.08,1.42,242 240 255
F5IV,2.8,21.6,3.55,6700.0,0.46,1.5,-0.08,1.42,241 239 255
F5V,1.4,3.75,1.48,6700.0,0.46,3.4,-0.08,3.32,248 247 255
F5VI,1.1,1.03,0.777,6700.0,0.46,4.8,-0.08,4.72,248 247 255
F6Ia0,10.0,374000.0,460.0,6760.0,0.44,-9.1,-0.08,-9.18,255 234 252
F6Ia,8.6,149000.0,290.0,6760.0,0.44,-8.1,-0.08,-8.18,255 234 252
F6Ib,7.1,7820.0,66.4,6760.0,0.44,-4.9,-0.08,-4.98,255 234 252
F6II,5.7,786.0,22.4,6560.0,0.49,-2.4,-0.09,-2.49,253 249 255
F6III,4.2,23.7,3.89,6560.0,0.49,1.4,-0.09,1.31,241 240 255
F6IV,2.8,16.4,3.23,6560.0,0.49,1.8,-0.09,1.71,241 239 255
F6V,1.3,3.13,1.41,6560.0,0.49,3.6,-0.09,3.51,244 241 255
F6VI,1.0,0.862,0.741,6560.0,0.49,5.0,-0.09,4.91,244 241 255
F7Ia0,10.0,413000.0,519.0,6520.0,0.5,-9.2,-0.09,-9.29,255 243 250
F7Ia,8.5,137000.0,299.0,6520.0,0.5,-8.0,-0.09,-8.09,255 243 250
F7Ib,7.1,7180.0,68.4,6520.0,0.5,-4.8,-0.09,-4.89,255 243 250
F7II,5.6,791.0,23.4,6420.0,0.52,-2.4,-0.1,-2.5,255 250 251
F7III,4.2,26.2,4.26,6420.0,0.52,1.3,-0.1,1.2,241 240 255
F7IV,2.7,12.5,2.95,6420.0,0.52,2.1,-0.1,2.0,240 239 255
F7V,1.3,2.62,1.35,6420.0,0.52,3.8,-0.1,3.7,246 243 255
F7VI,1.0,0.791,0.741,6420.0,0.52,5.1,-0.1,5.0,246 243 255
F8Ia0,10.0,419000.0,564.0,6280.0,0.56,-9.2,-0.11,-9.31,255 252 247
F8Ia,8.5,127000.0,310.0,6280.0,0.56,-7.9,-0.11,-8.01,255 252 247
F8Ib,7.1,7290.0,74.3,6280.0,0.56,-4.8,-0.11,-4.91,255 252 247
F8II,5.6,729.0,23.5,6280.0,0.56,-2.3,-0.11,-2.41,255 248 245
F8III,4.1,29.0,4.69,6280.0,0.56,1.2,-0.11,1.09,252 248 255
F8IV,2.7,10.5,2.83,6280.0,0.56,2.3,-0.11,2.19,255 252 253
F8V,1.2,2.41,1.35,6280.0,0.56,3.9,-0.11,3.79,255 247 252
F8VI,1.0,0.665,0.71,6280.0,0.56,5.3,-0.11,5.19,255 247 252
F9Ia0,10.0,473000.0,654.0,6011.0,0.63,-9.3,-0.14,-9.44,255 246 233
F9Ia,8.5,130000.0,343.0,6011.0,0.63,-7.9,-0.14,-8.04,255 246 233
F9Ib,7.0,6840.0,78.6,6011.0,0.63,-4.7,-0.14,-4.84,255 246 233
F9II,5.6,739.0,24.8,6140.0,0.6,-2.3,-0.12,-2.42,255 246 239
F9III,4.1,32.2,5.17,6140.0,0.6,1.1,-0.12,0.98,255 246 245
F9IV,2.6,8.1,2.59,6140.0,0.6,2.6,-0.12,2.48,255 250 249
F9V,1.1,2.03,1.3,6140.0,0.6,4.1,-0.12,3.98,255 247 252
F9VI,0.9,0.614,0.714,6140.0,0.6,5.4,-0.12,5.28,255 247 252
G0Ia0,10.0,495000.0,732.0,5743.0,0.7,-9.3,-0.19,-9.49,255 239 219
G0Ia,6.3,124000.0,367.0,5743.0,0.7,-7.8,-0.19,-7.99,255 239 219
G0Ib,2.5,7150.0,88.1,5743.0,0.7,-4.7,-0.19,-4.89,255 239 219
G0II,2.1,784.0,29.2,5743.0,0.7,-2.3,-0.19,-2.49,255 244 233
G0III,1.8,37.5,6.38,5743.0,0.7,1.0,-0.19,0.81,255 242 233
G0IV,1.4,6.25,2.38,6000.0,0.63,2.9,-0.14,2.76,255 248 245
G0V,1.1,1.72,1.25,6000.0,0.63,4.3,-0.14,4.16,255 248 252
G0VI,0.9,0.52,0.688,6000.0,0.63,5.6,-0.14,5.46,255 248 252
G1Ia0,10.5,527000.0,832.0,5474.0,0.78,-9.3,-0.25,-9.55,255 238 212
G1Ia,6.6,132000.0,417.0,5474.0,0.78,-7.8,-0.25,-8.05,255 238 212
G1Ib,2.6,7620.0,100.0,5474.0,0.78,-4.7,-0.25,-4.95,255 238 212
G1II,2.2,835.0,33.1,5474.0,0.78,-2.3,-0.25,-2.55,255 243 227
G1III,1.8,43.8,7.59,5474.0,0.78,0.9,-0.25,0.65,255 243 233
G1IV,1.4,6.35,2.5,5890.0,0.66,2.9,-0.16,2.74,255 246 244
G1V,1.0,1.46,1.19,5890.0,0.66,4.5,-0.16,4.34,255 247 248
G1VI,0.9,0.44,0.656,5890.0,0.66,5.8,-0.16,5.64,255 247 248
G2Ia0,11.0,573000.0,959.0,5206.0,0.86,-9.3,-0.35,-9.65,255 236 205
G2Ia,6.9,131000.0,459.0,5206.0,0.86,-7.7,-0.35,-8.05,255 236 205
G2Ib,2.8,8290.0,115.0,5206.0,0.86,-4.7,-0.35,-5.05,255 236 205
G2II,2.3,909.0,38.2,5206.0,0.86,-2.3,-0.35,-2.65,255 241 221
G2III,1.9,52.3,9.16,5206.0,0.86,0.8,-0.35,0.45,255 243 233
G2IV,1.4,6.48,2.62,5780.0,0.69,2.9,-0.18,2.72,255 244 242
G2V,1.0,1.23,1.14,5780.0,0.69,4.7,-0.18,4.52,255 245 242
G2VI,0.9,0.373,0.628,5780.0,0.69,6.0,-0.18,5.82,255 245 242
